,품목기준코드,품목명,업체명,품목허가일자,업종,품목일련번호,전문/일반,분류명,품목허가번호,주성분,주성분수,신고/허가,취하일자,취하구분,이미지,업일련번호,업허가번호,보험코드
0,198701191,와이덱스액2%(글루타랄콘센트레이트),동인당제약(주),19870624,의약품,198701191,일반의약품,[07320]방역용 살균소독제,22,글루타랄콘센트레이트,1,신고,,정상,,19570023,1345,
1,198701194,와이덱스액20%(소독용글루타랄액),동인당제약(주),19870624,의약품,198701194,일반의약품,[07320]방역용 살균소독제,29,글루타랄콘센트레이트,1,신고,,정상,,19570023,1345,
2,198701947,하이겐-에프(산화에칠렌),아시아케미칼(주),19870831,의약품,198701947,일반의약품,[07320]방역용 살균소독제,1,산화에칠렌,1,허가,,정상,,19870019,1679,
3,198701948,하이겐-20%(산화에칠렌),아시아케미칼(주),19870831,의약품,198701948,일반의약품,[07320]방역용 살균소독제,2,산화에칠렌,1,허가,,정상,,19870019,1679,
4,198701949,하이겐-30%(산화에칠렌),아시아케미칼(주),19870831,의약품,198701949,일반의약품,[07320]방역용 살균소독제,3,산화에칠렌,1,허가,,정상,,19870019,1679,
5,198802475,카폭스에프(산화에틸렌),주식회사한국화공,19880128,의약품,198802475,일반의약품,[07320]방역용 살균소독제,4,산화에칠렌,1,허가,,정상,,19650017,1474,
6,198802476,카폭스20(산화에틸렌),주식회사한국화공,19880128,의약품,198802476,일반의약품,[07320]방역용 살균소독제,5,산화에칠렌,1,허가,,정상,,19650017,1474,
7,198802477,카폭스30(산화에틸렌),주식회사한국화공,19880128,의약품,198802477,일반의약품,[07320]방역용 살균소독제,6,산화에칠렌,1,허가,,정상,,19650017,1474,
8,199501698,클리닉졸액(글루타랄콘센트레이트),동인당제약(주),19951226,의약품,199501698,일반의약품,[07320]방역용 살균소독제,27,글루타랄콘센트레이트,1,신고,,정상,,19570023,1345,
9,199503356,그린와이나액2%(글루타랄콘센트레이트),(주)그린제약,19950622,의약품,199503356,일반의약품,[07320]방역용 살균소독제,7,글루타랄콘센트레이트,1,신고,,정상,,19940041,1851,
10,199600444,바이덱스액2%(글루타랄콘센트레이트),(주)퍼슨,19960318,의약품,199600444,일반의약품,[07320]방역용 살균소독제,2,글루타랄콘센트레이트,1,신고,20210514,취하,,19570002,1338,
11,199803487,"신형개인제독킷(군납명:제독키트,피부/개인장비용,KD-1)(군납용)",삼양화학공업(주),19981105,의약품,199803487,전문의약품,[07390]기타의 공중위생용약,7,분말활성탄/양이온수지분말/음이온수지분말,3,허가,,정상,,19800003,1596,
12,199804680,한국루베디에스투제독액(군납용),(주)한국루베,19981111,의약품,199804680,일반의약품,[07390]기타의 공중위생용약,1,디에칠렌트리아민/수산화나트륨,2,허가,,정상,,19980016,2029,
13,199903234,카폭스100,주식회사한국화공,19990403,의약품,199903234,일반의약품,[07320]방역용 살균소독제,10,산화에칠렌,1,허가,,정상,,19650017,1474,
14,199903235,카폭스10,주식회사한국화공,19990403,의약품,199903235,일반의약품,[07320]방역용 살균소독제,11,산화에칠렌,1,허가,,정상,,19650017,1474,
15,199906930,페라세이프(과붕산나트륨),(주)나노팜,19991001,의약품 및 의약외품 수입업,199906930,일반의약품,[07320]방역용 살균소독제,16,과붕산나트륨,1,신고,,정상,,20162107,313,
