품명,한글명,포장단위(규격), 금액(US$),제조국,전문/일반
(51CR)EDTA INJECTION,새한크롬이디티에이주사,10ML(1MCI=37MBQ)/VIAL,"  26,224 ",U.K,전문
(I-131) ADOSTEROL INJ SOLUTION.,아도스테롤(131I)주사액,1ML(37MBQ)/VIAL,  591 ,JAPAN,전문
5-HTP CAPS,5-에이치티피캅셀,50CAP/BOTTLE,"  14,000 ",TAIWAN,전문
ABBOTT GANATON TAB 50MG,애보트가나톤정50밀리그램,1000TAB/BOTTLE,"  104,871 ",JAPAN,전문
ABBOTT GANATON TAB 50MG,애보트가나톤정50밀리그램,10TAB/10PTP/BOX,"  19,889 ",JAPAN,전문
ABBOTT GANATON TAB 50MG,애보트가나톤정50밀리그램,500TAB/BOTTLE,"  221,712 ",JAPAN,전문
ABILIFY MAINTENA INJECTION 300MG,아빌리파이메인테나주사300밀리그램,1.5ML/1PFS/PACK,"  319,341 ",JAPAN,전문
ABILIFY MAINTENA INJECTION 400MG,아빌리파이메인테나주사400밀리그램,2ML/1PFS/PACK,"  437,901 ",JAPAN,전문
ABNOBA VISCUM A 0.02MG (ABNOBA VISCUM A-5) INJ.,압노바비스쿰에이0.02mg주사액,1ML/8AMP/BOX,"  119,761 ",GERMANY,전문
ABNOBA VISCUM A 0.2MG (ABNOBA VISCUM A-4) INJ.,압노바비스쿰에이0.2mg주사액,1ML/8AMP/BOX,"  48,770 ",GERMANY,전문
ABNOBA VISCUM A 20MG (ABNOBA VISCUM A-2) INJ.,압노바비스쿰에이20mg주사액,1ML/8AMP/BOX,"  78,632 ",GERMANY,전문
ABNOBA VISCUM A 2MG (ABNOBA VISCUM A-3) INJ.,압노바비스쿰에이2mg주사액,1ML/8AMP/BOX,"  28,976 ",GERMANY,전문
ABNOBA VISCUM M 20MG (ABNOBA VISCUM M-2) INJ.,압노바비스쿰엠20mg주사액,1ML/8AMP/BOX,"  526,880 ",GERMANY,전문
ABNOBA VISCUM M 2MG (ABNOBA VISCUM M-3) INJ.,압노바비스쿰엠2mg주사액,1ML/8AMP/BOX,"  116,357 ",GERMANY,전문
ABNOBA VISCUM M 0.02MG (ABNOBA VISCUM M-5) INJ,압노바비스쿰엠0.02mg주사액,1ML/8AMP/BOX,"  160,115 ",GERMANY,전문
ABNOBA VISCUM M 0.2MG (ABNOBA VISCUM M-4) INJ.,압노바비스쿰엠0.2mg주사액,1ML/8AMP/BOX,"  145,580 ",GERMANY,전문
ABNOBA VISCUM F 0.02MG (ABNOBAVISCUMF-5) INJ.,압노바비스쿰에프0.02mg주사액,1ML/8AMP/BOX,"  148,573 ",GERMANY,전문
ABNOBA VISCUM F 0.2MG (ABNOBAVISCUMF-4) INJ.,압노바비스쿰에프0.2mg주사액,1ML/8AMP/BOX,"  130,555 ",GERMANY,전문
