전문/일반,품명,국가,포장단위, 금액(USD)
일반,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),GERMANY,10ML/10BOTTLE/BOX,"  987,896 "
일반,1.셀레나제100마이크로그램퍼오랄액(아셀렌산나트륨오수화물)2.셀레나제티퍼오랄액(아셀렌산나트륨오수화물),GERMANY,2ML/20AMP/PACK,"  4,446,350 "
일반,개비스콘더블액션현탁액,U.K,10ML/12포/12CASE/1CARTON,"  138,823 "
일반,개비스콘더블액션현탁액,U.K,10ML/4포/12CASE/CARTON,"  384,969 "
일반,개비스콘페퍼민트현탁액,U.K,10ML/4포/60CASE/CARTON,"  73,309 "
일반,광동푸로스판시럽(아이비엽30%에탄올엑스(5∼7.5→1)),GERMANY,200ML/BOTTLE,"  90,841 "
일반,굿윌스보바인젤라틴공캡슐0호,CHINA,"86,000CAPSULE/CARTON","  366,638 "
일반,굿윌스보바인젤라틴공캡슐1호,CHINA,"46,000CAPSULE/CARTON","  509,638 "
일반,굿윌스보바인젤라틴공캡슐2호,CHINA,"89,000CAPSULE/CARTON","  112,270 "
일반,굿윌스보바인젤라틴공캡슐4호,CHINA,"49,000CAPSULE/CARTON","  12,084 "
일반,굿윌스피그젤라틴공캡슐0호,CHINA,"100,000CAP/CARTON","  10,260 "
일반,굿윌스피그젤라틴공캡슐2호,CHINA,"175,000CAP/CARTON","  171,491 "
일반,굿윌스피그젤라틴공캡슐3호,CHINA,"225,000CAPSULE/CARTON","  252,707 "
일반,굿윌스피그젤라틴공캡슐4호,CHINA,"300,000CAP/CARTON","  170,676 "
일반,기공활혈고(수입명:CHIKUNGHUOSHIUEHKAO),TAIWAN,6PCS/PACK(10CMX14.5CM),"  200,962 "
일반,나박점안액(엔-아세틸아스파틸글루타민산나트륨),FRANCE,10ML/BOTTLE,"  198,501 "
일반,노자임캡슐(판크레아틴장용성제피정),GERMANY,100CAP/1BOTTLE/BOX,"  2,233,981 "
