,전문/일반,품목명,국가,포장단위,sales,year
0,전문,새한크롬이디티에이주사,U.K,10ML(1MCI=37MBQ)/VIAL,"  26,224 ",2017
1,전문,아도스테롤(131I)주사액,JAPAN,1ML(37MBQ)/VIAL,  591 ,2017
2,전문,5-에이치티피캅셀,TAIWAN,50CAP/BOTTLE,"  14,000 ",2017
3,전문,애보트가나톤정50밀리그램,JAPAN,1000TAB/BOTTLE,"  104,871 ",2017
4,전문,애보트가나톤정50밀리그램,JAPAN,10TAB/10PTP/BOX,"  19,889 ",2017
5,전문,애보트가나톤정50밀리그램,JAPAN,500TAB/BOTTLE,"  221,712 ",2017
6,전문,아빌리파이메인테나주사300밀리그램,JAPAN,1.5ML/1PFS/PACK,"  319,341 ",2017
7,전문,아빌리파이메인테나주사400밀리그램,JAPAN,2ML/1PFS/PACK,"  437,901 ",2017
8,전문,압노바비스쿰에이0.02mg주사액,GERMANY,1ML/8AMP/BOX,"  119,761 ",2017
9,전문,압노바비스쿰에이0.2mg주사액,GERMANY,1ML/8AMP/BOX,"  48,770 ",2017
10,전문,압노바비스쿰에이20mg주사액,GERMANY,1ML/8AMP/BOX,"  78,632 ",2017
11,전문,압노바비스쿰에이2mg주사액,GERMANY,1ML/8AMP/BOX,"  28,976 ",2017
12,전문,압노바비스쿰엠20mg주사액,GERMANY,1ML/8AMP/BOX,"  526,880 ",2017
13,전문,압노바비스쿰엠2mg주사액,GERMANY,1ML/8AMP/BOX,"  116,357 ",2017
14,전문,압노바비스쿰엠0.02mg주사액,GERMANY,1ML/8AMP/BOX,"  160,115 ",2017
15,전문,압노바비스쿰엠0.2mg주사액,GERMANY,1ML/8AMP/BOX,"  145,580 ",2017
16,전문,압노바비스쿰에프0.02mg주사액,GERMANY,1ML/8AMP/BOX,"  148,573 ",2017
17,전문,압노바비스쿰에프0.2mg주사액,GERMANY,1ML/8AMP/BOX,"  130,555 ",2017
18,전문,압노바비스쿰에프20mg주사액,GERMANY,1ML/8AMP/BOX,"  435,099 ",2017
19,전문,압노바비스쿰에프2mg주사액,GERMANY,1ML/8AMP/BOX,"  112,049 ",2017
20,전문,압노바비스쿰큐0.02mg주사액,GERMANY,1ML/8AMP/BOX,"  62,354 ",2017
21,전문,압노바비스쿰큐0.2mg주사액,GERMANY,1ML/8AMP/BOX,"  67,298 ",2017
22,전문,압노바비스쿰큐20mg주사액,GERMANY,1ML/8AMP/BOX,"  127,996 ",2017
23,전문,압노바비스쿰큐2mg주사액,GERMANY,1ML/8AMP/BOX,"  50,773 ",2017
24,전문,아브락산주,USA,50ML/1VIAL/KIT,"  8,412,657 ",2017
25,전문,어코드도세탁셀주,U.K,4ML/VIAL,"  68,040 ",2017
26,전문,아서틸정4밀리그램,CHINA,30TAB/3PTP/BOX,"  2,967,212 ",2017
27,전문,아서틸정8밀리그램,FRANCE,15TAB/6PTP/BOX,"  1,592,302 ",2017
28,전문,아서틸플러스아르기닌정,FRANCE,30TAB/1BOTTLE/BOX,"  60,335 ",2017
29,전문,액트에어설하정초기치료단계,AUSTRALIA,(3TAB/PTP+28TAB/PTP)/CARTON,"  36,488 ",2017
30,전문,액트에어설하정유지치료단계,AUSTRALIA,30TAB/PTP/CARTON,"  157,562 ",2017
31,전문,악템라주,JAPAN,10ML/VIAL,"  132,912 ",2017
32,전문,악템라주,JAPAN,20ML/VIAL,"  1,925,053 ",2017
33,전문,악템라주,JAPAN,4ML/VIAL,"  310,375 ",2017
34,전문,악템라피하주사162밀리그램,JAPAN,0.9ML/1AUTOINJECTOR/PACK,"  903,336 ",2017
35,전문,악템라피하주사162밀리그램,JAPAN,0.9ML/1PFS/PACK,"  948,941 ",2017
36,전문,악티브주,FRANCE,(1VIAL+0.5MLX1PFS)/BOX,"  259,743 ",2017
37,전문,액티라제주사20밀리그램,GERMANY,20MG/2VIAL/PACK,"  1,763,432 ",2017
38,전문,액티라제주사50밀리그램,GERMANY,50MG/1VIAL/PACK,"  2,092,919 ",2017
39,전문,악토넬EC정35밀리그램,AUSTRALIA,4TAB/1PTP/PACK,"  1,809,702 ",2017
40,전문,악토넬정150밀리그램,PUERTO RICO,1TAB/1PTP/PACK,"  902,320 ",2017
41,전문,액토스정15밀리그램,DENMARK,14TAB/2PTP/PACK,"  3,407,244 ",2017
42,전문,액토스정30밀리그램,DENMARK,14TAB/2PTP/PACK,"  1,961,577 ",2017
43,전문,액토스메트정15/850밀리그램,DENMARK,14TAB/4PTP/PACK,"  1,392,153 ",2017
44,전문,액토스릴정30/2밀리그램,DENMARK,14TAB/2PTP/BOX,"  55,541 ",2017
45,전문,액토스릴정30/4밀리그램,DENMARK,14TAB/2PTP/BOX,"  61,487 ",2017
46,전문,아큐판주사액,FRANCE,2ML/20AMP/BOX,"  1,614,937 ",2017
