,전문/일반,품목명,국가,포장단위,sales,year
0,전문,새한크롬이디티에이주사,U.K,10ML(1MCI=37MBQ)/VIAL,26224,2017-01-01
1,전문,아도스테롤(131I)주사액,JAPAN,1ML(37MBQ)/VIAL,591,2017-01-01
2,전문,5-에이치티피캅셀,TAIWAN,50CAP/BOTTLE,14000,2017-01-01
3,전문,애보트가나톤정50밀리그램,JAPAN,1000TAB/BOTTLE,104871,2017-01-01
4,전문,애보트가나톤정50밀리그램,JAPAN,10TAB/10PTP/BOX,19889,2017-01-01
5,전문,애보트가나톤정50밀리그램,JAPAN,500TAB/BOTTLE,221712,2017-01-01
6,전문,아빌리파이메인테나주사300밀리그램,JAPAN,1.5ML/1PFS/PACK,319341,2017-01-01
7,전문,아빌리파이메인테나주사400밀리그램,JAPAN,2ML/1PFS/PACK,437901,2017-01-01
8,전문,압노바비스쿰에이0.02mg주사액,GERMANY,1ML/8AMP/BOX,119761,2017-01-01
9,전문,압노바비스쿰에이0.2mg주사액,GERMANY,1ML/8AMP/BOX,48770,2017-01-01
10,전문,압노바비스쿰에이20mg주사액,GERMANY,1ML/8AMP/BOX,78632,2017-01-01
11,전문,압노바비스쿰에이2mg주사액,GERMANY,1ML/8AMP/BOX,28976,2017-01-01
12,전문,압노바비스쿰엠20mg주사액,GERMANY,1ML/8AMP/BOX,526880,2017-01-01
13,전문,압노바비스쿰엠2mg주사액,GERMANY,1ML/8AMP/BOX,116357,2017-01-01
14,전문,압노바비스쿰엠0.02mg주사액,GERMANY,1ML/8AMP/BOX,160115,2017-01-01
15,전문,압노바비스쿰엠0.2mg주사액,GERMANY,1ML/8AMP/BOX,145580,2017-01-01
16,전문,압노바비스쿰에프0.02mg주사액,GERMANY,1ML/8AMP/BOX,148573,2017-01-01
17,전문,압노바비스쿰에프0.2mg주사액,GERMANY,1ML/8AMP/BOX,130555,2017-01-01
18,전문,압노바비스쿰에프20mg주사액,GERMANY,1ML/8AMP/BOX,435099,2017-01-01
19,전문,압노바비스쿰에프2mg주사액,GERMANY,1ML/8AMP/BOX,112049,2017-01-01
20,전문,압노바비스쿰큐0.02mg주사액,GERMANY,1ML/8AMP/BOX,62354,2017-01-01
21,전문,압노바비스쿰큐0.2mg주사액,GERMANY,1ML/8AMP/BOX,67298,2017-01-01
22,전문,압노바비스쿰큐20mg주사액,GERMANY,1ML/8AMP/BOX,127996,2017-01-01
23,전문,압노바비스쿰큐2mg주사액,GERMANY,1ML/8AMP/BOX,50773,2017-01-01
24,전문,아브락산주,USA,50ML/1VIAL/KIT,8412657,2017-01-01
25,전문,어코드도세탁셀주,U.K,4ML/VIAL,68040,2017-01-01
26,전문,아서틸정4밀리그램,CHINA,30TAB/3PTP/BOX,2967212,2017-01-01
27,전문,아서틸정8밀리그램,FRANCE,15TAB/6PTP/BOX,1592302,2017-01-01
28,전문,아서틸플러스아르기닌정,FRANCE,30TAB/1BOTTLE/BOX,60335,2017-01-01
29,전문,액트에어설하정초기치료단계,AUSTRALIA,(3TAB/PTP+28TAB/PTP)/CARTON,36488,2017-01-01
30,전문,액트에어설하정유지치료단계,AUSTRALIA,30TAB/PTP/CARTON,157562,2017-01-01
31,전문,악템라주,JAPAN,10ML/VIAL,132912,2017-01-01
32,전문,악템라주,JAPAN,20ML/VIAL,1925053,2017-01-01
33,전문,악템라주,JAPAN,4ML/VIAL,310375,2017-01-01
34,전문,악템라피하주사162밀리그램,JAPAN,0.9ML/1AUTOINJECTOR/PACK,903336,2017-01-01
35,전문,악템라피하주사162밀리그램,JAPAN,0.9ML/1PFS/PACK,948941,2017-01-01
36,전문,악티브주,FRANCE,(1VIAL+0.5MLX1PFS)/BOX,259743,2017-01-01
37,전문,액티라제주사20밀리그램,GERMANY,20MG/2VIAL/PACK,1763432,2017-01-01
38,전문,액티라제주사50밀리그램,GERMANY,50MG/1VIAL/PACK,2092919,2017-01-01
39,전문,악토넬EC정35밀리그램,AUSTRALIA,4TAB/1PTP/PACK,1809702,2017-01-01
40,전문,악토넬정150밀리그램,PUERTO RICO,1TAB/1PTP/PACK,902320,2017-01-01
41,전문,액토스정15밀리그램,DENMARK,14TAB/2PTP/PACK,3407244,2017-01-01
42,전문,액토스정30밀리그램,DENMARK,14TAB/2PTP/PACK,1961577,2017-01-01
43,전문,액토스메트정15/850밀리그램,DENMARK,14TAB/4PTP/PACK,1392153,2017-01-01
44,전문,액토스릴정30/2밀리그램,DENMARK,14TAB/2PTP/BOX,55541,2017-01-01
45,전문,액토스릴정30/4밀리그램,DENMARK,14TAB/2PTP/BOX,61487,2017-01-01
46,전문,아큐판주사액,FRANCE,2ML/20AMP/BOX,1614937,2017-01-01
47,전문,아큐베일점안액0.45%,USA,0.4ML/30TUBE/BOX,801979,2017-01-01
48,전문,아다셀주,CANADA,0.5ML/VIAL,4376782,2017-01-01
49,전문,아달라트오로스정30,GERMANY,10TAB/7PTP/PACK,5848239,2017-01-01
