,Time,User,Tweet
0,2022-10-18 00:54:59+00:00,ellind0707,스즈미야 하루히 시리즈는 몇권에 걸친 하루히와 쿈의 연애사라고 읽고있었지만 지금은 아무래도 좋아졌다
1,2022-10-18 00:44:42+00:00,Ghspns,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
2,2022-10-18 00:37:34+00:00,Einhald_krbot,관리국의 마도기사. 야가미 하야테 사령관. ...어떤 분일까. 여러가지 사건을 해결한 역전의 용사라는 말도 있고 역시 무서운 사람일까?
3,2022-10-18 00:32:45+00:00,jNNqNByvVTcutFT,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
4,2022-10-18 00:28:41+00:00,JUNGIMCAT,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
5,2022-10-18 00:05:32+00:00,kesaraisgood,우리 사라가 그러고 싶다는데 손이 뭐 대수야 뭐 줘야지 어쩌겠음? 사라는 암묵적인 허락에 이제 손을 탐구하는 듯이 이리저리 만저봄. 저와는 다른 느낌의 손.. 그것만으로 이 손을 구경하는 것에 충분했다.. 손가락도 한 번씩 보고. 꾹 눌러도 봄. 그러고는 마지막에 손을 맞 대어보고는
6,2022-10-17 23:53:49+00:00,Lie_LUNJ_,@Alic3_I 힝 안돼 척살님 사라지지마 역시 척살님을 위한 안전가옥이라도 지어야겟다
7,2022-10-17 23:42:55+00:00,geolaeg95238191,히비키와타루 와타루 히비키 이사라 이사라마오 마오 칸자키소마 소마 칸자키 후시미 후시미유즈루 유즈루 키류 키류쿠로 쿠로 아오바츠무기 츠무기 아오바 텐마 텐마미츠루 미츠루 토리 히메미야토리 히메미야 파샤 아크릴 스탠드 아크릴스탠드 클리어카드 회전 아르카나 회전아크릴 중스타
8,2022-10-17 23:30:04+00:00,X_Melancholia,"""정말 좋아한다고! 사라! 넌 내 최고의 친구야!!""
/네가 죽어, 타즈나 죠우"
9,2022-10-17 23:12:59+00:00,purplehasblue,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
10,2022-10-17 23:05:41+00:00,gimsina02814295,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
11,2022-10-17 22:56:53+00:00,pododang16,"RT @oduckdiary: 즈! 학생회
되게 이사라마오의 사회생활 적응기
10부작 드라마같음
매번 고난을 겪지만 마지막에
케이토나 에이치가 후후... 마오군.
 잘했단 소리야.. 하면
마오가 아.. 아리가또고자이마스..!!!
하면서 경쾌한 엔딩곡…"
12,2022-10-17 22:55:23+00:00,133T3N,"리볼버찾앗는데요… 소우가달라는거임 개쎄해서 헐 내가 너한테 그걸 왜줌;; 했는데 개꼽줌
그래… 사라씨가 갖고있는 편이 안심된다면… ㅎㅎ
개새끼야"
13,2022-10-17 22:39:33+00:00,1_2_3_4_w,"RT @mimiming2323: #네가죽어 
미도사라 
너한테 기대하고 있는 건 이런 게 아니야 https://t.co/ggmaLFfiwR"
14,2022-10-17 21:54:06+00:00,Luxi593s,"RT @mimiming2323: #네가죽어 
미도사라 
너한테 기대하고 있는 건 이런 게 아니야 https://t.co/ggmaLFfiwR"
15,2022-10-17 21:49:12+00:00,postfreshtape,"지금 말하면 아까 경비원 말대로 사라가 또 폭주할지도 몰라서. 폭주는 아니겠지 하려고 하면 목걸이 때문에 죽을만큼 고통스러울 테니까 
고통에 기절하겠지 그냥...

케이지씨..왜그래요.. 일단 침대에 가서 앉아요.

아니야, 사라, 나는 있잖아. 나.. 할 말이 있는데.

네..뭔데요? 편하게 말해요."
16,2022-10-17 21:44:11+00:00,u_uliz,@FF14_19107 제 밑에서 살아남은 용기사라면 멋진 용기사가 아닐까요… .. 탱커들이 제 힐 받고도 종잇장 마냥 후들거리는 거 보셨잔아요 당신은 쩌용이야아 ㅡㅡ 3층가실때불러주십쇼
17,2022-10-17 21:40:16+00:00,mmmmaksssso,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
18,2022-10-17 21:09:44+00:00,Maiden_BlueEyes,"""키사라에 대해 모를리가요.""

""... 그거야, 소녀는, 그녀의 유산과도 같은 존재이니까요?""

#유희왕
#푸른_눈의_소녀"
19,2022-10-17 21:06:25+00:00,gimeunj36435476,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
20,2022-10-17 20:47:30+00:00,CzK7fLYPk557h5m,RT @realtruth2027: 이재명 대표가 방위산업체 주식이 있나보지? 그게 자랑이지 문제야? 나도 한국친척들이 물어보면 방위산업체 주식사라고 추천하는데.  대한민국은 자본주의가 아님. 보수라는 놈들이 주식투자 현명하게 하는 걸 욕하는 나라.
