,Time,User,Tweet
0,2022-10-17 02:40:31+00:00,bsdrov,"우유
알콜솜
과산화수소 잇으면 그것도"
1,2022-10-16 16:26:49+00:00,JXxS2oO,@fuckjotgga 아꺼져봐미친한다음에겉옷입고약국가서과산화수소사오는생각밖에안남。。。
2,2022-10-16 15:40:46+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
3,2022-10-16 13:08:12+00:00,greenn_ever,@donggulami3 과산화수소 희석한 것도 좋아요!
4,2022-10-16 05:59:20+00:00,Tide_Planet,@chpeanut 거즈 떼어내고 과산화수소 소독약바르고 다시 위에 거즈 붙여주더라고요 이틀뒤에 또 오래요 ㅠ
5,2022-10-16 05:03:24+00:00,reason_browning,"루미놀이란 이름, 많이 들어봤겠지? 혈흔의 감식에 흔히 쓰이는 것일세. 자청색의 발광 현상이, 육안으로도 볼 수 있을 정도로 선명히 나타나지. 과산화수소 및 시안이온의 분석용 시약으로도 쓰인다고 하는군."
6,2022-10-15 23:32:45+00:00,okjoo0124,"밤새논것도 첨이야..아직 한숨도 안잠...
이건 과산화수소맛???? 나던 피치어쩌구 https://t.co/Dhoa6rrjy3"
7,2022-10-15 19:11:05+00:00,resent2134974,너무 더워서 창문을 열어놓고 자는데 발이 갑자기 존나 간지러운거임 그래서 아 설마..이러면서 집이 16층인데 여기까지 날아서 올라오는 십새끼가 있겟어?했은데 몇분뒤에 귀에서 앵 소리 들리는거이...가족들 다 자고있고 에프킬라도 거실에 있어서 사용기간 지난 과산화수소로 모기잡음 이씨발
8,2022-10-15 17:00:23+00:00,lleehayool,@_x_oO0J 눈동자에 아이폰이 있네 피어싱 한지 얼마 안되서 귀고리 바꿈 붓고 피나고 골음 생기는데 재수없음 귀 영구변형 될수도있어 바끄고싶어도 졸라 참아야되 진짜야 귀 가렵거나하면 긁지말고 소독하고 소독약은 애니클렌 사용하는게 좋아 과산화수소보다 좋고 귀걸이 색변질도 안되
9,2022-10-15 16:07:09+00:00,AKY2022_,"섭젯 날티 있는데 갈발 톤그로에서 오는 거라고 한 거 인상적임
왜 날티가 나나 했는데 갈발이 원인이었어
과산화수소노란색탈색처럼(그정도는아니지만)"
10,2022-10-15 15:40:45+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
11,2022-10-15 14:24:50+00:00,my_Little_plant,"곰팡이 너무 신경쓰이는데
과산화수소 부을까?????"
12,2022-10-15 06:49:34+00:00,hercelogreengum,"만약에 니가 개야 근데 니가 모르고 초콜릿을 먹었어
근데 니 견주가 너를 붙들고 멀쩡한 너의 주둥이에 과산화수소를 억지로 먹인다면 니의 눈에는 견주가 악마새끼로 보이겠지..."
13,2022-10-15 05:03:25+00:00,reason_browning,"루미놀이란 이름, 많이 들어봤겠지? 혈흔의 감식에 흔히 쓰이는 것일세. 자청색의 발광 현상이, 육안으로도 볼 수 있을 정도로 선명히 나타나지. 과산화수소 및 시안이온의 분석용 시약으로도 쓰인다고 하는군."
14,2022-10-15 04:19:44+00:00,noonday_demon,RT @tunafilmotrivia: 학창시절의 대수는 저의 고등학고 때 추억을 떠올려 만들었습니다. 교복바지를 통바지처럼 만들어 내려입고 양아치 같은 느낌을 위해 과산화수소로 뺀 듯한 헤어컬러를 택했어요. 운동부는 염색도 약간 묵인해주는 게 있었어…
15,2022-10-15 03:36:50+00:00,tunafilmotrivia,"학창시절의 대수는 저의 고등학고 때 추억을 떠올려 만들었습니다. 교복바지를 통바지처럼 만들어 내려입고 양아치 같은 느낌을 위해 과산화수소로 뺀 듯한 헤어컬러를 택했어요. 운동부는 염색도 약간 묵인해주는 게 있었어요, 거기서 아이디어를 냈죠."
16,2022-10-15 01:41:20+00:00,Odd_mOmEnt4,"아이스톤 실내에 집어넣ㅇ으니까 흙에 곰팡이펴서...ㅋㅋㅋㅋㅋㅋ 윗흙 싹ㄱ 걷어내고 과산화수소 뿌렷단ㄴ말임...
근데 이제 내 손에 거스러미 듣은거에도 과산화수소 뭍어서 크악 하고옴..."
17,2022-10-15 01:08:26+00:00,gyeol__v,과산화수소도 재연 땐 없지않았나 오연쯤 가면 포스터 삼십개되게써 아주
18,2022-10-14 19:31:59+00:00,zany_sci_bot,"물을 끓이면 기화된 H₂O가 공기 중의 산소 원자와 결합해서 과산화수소가 될 거에요!!

(익명께서 제보하셨어요!!)"
19,2022-10-14 15:58:16+00:00,haemkaseu,"@V12_jom_hae_ra 헉 과산화수소없으세요 ㅠㅠㅠ????? 애기 잘보살펴주세요 아이공,,, 저희집 강아지는 제 약봉지를 뜯어먹은적이 있는데"
20,2022-10-14 15:54:27+00:00,1992_O31O_O417,@janjanbbung 웅 과산화수소 뿌리고 찬물로 씻어줘
21,2022-10-14 15:43:25+00:00,OwO_xx_OAO,@jeok_wall @mi_nen21 스을쩍 껴보자면 타이레놀 탁센 종류는 3박스 정도 구비하시고 파스나 배아제같은 소화제나 감기약 정도 구비하시고 과산화수소랑 깨긋한 면포(?) 같은것도 있으심 좋어요
22,2022-10-14 15:40:45+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
23,2022-10-14 10:18:58+00:00,3XH4U5TED,"@Leymond_M (그리고 손톱으로 테이프를 자른다. 꼼꼼하게 붙인다.) 됐어요, 이 정도는 해야죠. 바지에는 과산화수소 뿌려둘게요. 그리고 나갈 때 주소 하나 받아가요."
24,2022-10-14 08:39:00+00:00,som_greenery,어제 튤립 한다라이 심을때 보니 구근 상태가 안좋은게 꽤 있었으니 이따 일 끝내고 과산화수소도 사와야지
25,2022-10-14 05:19:45+00:00,andantelargo_,솜깍지는 언제 어떻게 생기는걸까 저 큰 벌레가 갑자기 띠용하고 나타나는게 넘…🫠 여튼 아직까지 어마어마한 솜깍지 습격을 받아본적은 없어서 솔직히 방제 난이도는 최하긴 함 과산화수소 희석액 뿌려주고 휴지로 잡아서 버리기만 하면 되니까
26,2022-10-14 04:35:46+00:00,haebarak,버터플라이 나이프와 하이드로젠 페록사이드(과산화수소). 오펀스가 돌아온다. https://t.co/bGwykZwc6i
27,2022-10-14 03:53:11+00:00,nuzello0,"@lupus_niger @sdgetter 평소에는 햇빛을 계속 받으면 그 자리로 산소가 들어가서 점점 누렇게 변하기만 하는데, 과산화수소를 두른 채 쬐면 반응으로 일어난 산소와 브로민 안의 산소가 달라붙으며 다시 하얗게 돌아오는 그런 것 같습니다.
그런데 왜 강한 자외선만 쬐어도, 변색을 오히려 되돌리는 지는 몰?루!!"
28,2022-10-14 03:49:08+00:00,nuzello0,"@lupus_niger @sdgetter 네. 누렇게 변하는 게 플라스틱 내 브로민 성분이 햇빛 + 산소때문에 산화되는 현상입니다.

그러므로 브로민 안의 산소만 떼면 되는데.. 이 브로민 안에 있는 산소가 같은 산소랑 잘 반응하니 과산화수소로 더욱 강하게 산소를 먹여서 브로민X산소 커플을 강제로 깨 버려 환원시키는 거죠 (병신비유)"
29,2022-10-14 03:32:17+00:00,tiny999_voy,"RT @playorphansline: -하이드로겐 페록사이드 가져올게.
-뭐?
-과산화수소."
30,2022-10-13 16:32:02+00:00,QECoMaASDF,@220804_ 이거 진짜요....ㅠㅠㅠㅠ 저도 폼클렌징으로 다 지워지는 거 깨닫고 잘 응용하고 있는 편.....ㅠ 덤으로 옷에 피 묻었을 때도 폼클렌징으로 문대기만 하면 피도 잘 지워져요... 만능임... 과산화수소도 필요없어... 이거 알면 진짜 삶의 질이 달라지더라구요
31,2022-10-13 15:40:46+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
32,2022-10-13 14:45:16+00:00,ijegyeoul,@_emong0_0 빨간약이랑은 다르니까 과산화수소 달라고 하세용
33,2022-10-13 14:41:04+00:00,ijegyeoul,@_emong0_0 정식명칭이 과산화수소이구 익숙한 이름은 흰색소독약입니다 ㅋㅋㅋ
34,2022-10-13 14:39:58+00:00,_emong0_0,@ijegyeoul 과산화수소가 비쌀까요…? 어디서 파나요!!
35,2022-10-13 14:37:28+00:00,ijegyeoul,"@_emong0_0 피 그... 과산화수소로 지우면 잘 지워지는데 
1. 찬물로 지우기
2. 만약피가 많으면 10여분정도 찬물에 불렸다가 지우기
3. 2번방법으류 안될경우 과산화수소를 부으면 흰색거품이 올라올템데 거품 다 올라올때까지 뒀다가 비누로 세쳑"
36,2022-10-13 12:33:04+00:00,guwon91_,@dingddong_0127 아무띤... ㅜㅜ 과산화수소잇어?  그거로 닦으면 피 없어지는데
37,2022-10-13 12:13:48+00:00,gimdongseon14,부글부글 끓는다 끓어... 신박한 과산화수소 활용 꿀팁 7 https://t.co/3CL6J0Yw2J via @YouTube
38,2022-10-13 06:22:59+00:00,3XH4U5TED,@Leymond_M (그녀는 곧장 자리에서 일어난다. 대야와 수건들. 구급상자와 차가운 물. 당신의 바지를 벗기고 대야에 던져둔다. 환부를 본다. 곧장 지혈제를 꺼내고 과산화수소액의 뚜껑을 연다. 물에다 좀 희석시킨다. 피가 완전히 멎기를 기다린다.) 당신 처음 맞아요?
39,2022-10-13 03:21:59+00:00,noDaTataka,마히루가 덜렁거려서 설탕대신 소금넣거나 베이킹 파우더대신 과산화수소 넣어도 먹었을껄? 마히루가~ 친구가 만든거니까~  하하~(넉살좋게 웃는다..)
40,2022-10-12 16:30:23+00:00,ristrettobunny,@amine_toronto 엉 차로 십오분 거리라 와이프 (아주 아침일찍) 출근할 때 따라나와야 할 것 같아ㅋㅋ  망할놈의 뿌리파리 ㅠㅠㅠㅠㅠ 그거 진짜 잡기 힘들지! 나도 깻잎이었나 뭐 한마리 뿌리파리 생겨서 분갈이 해주고 과산화수소 섞어 뿌리고 별 짓을 다 했던 기억이 나네…
41,2022-10-12 15:40:46+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
42,2022-10-12 11:01:43+00:00,Ryam_1025,@ggul_815 책도.. 밑에 휴지 받히고서 과산화수소 살살 뿌리고 휴지로 닦으면 좀.. 지워져요
43,2022-10-12 11:00:52+00:00,Ryam_1025,"@ggul_815 코피인가요..? 많이 피곤하셨나보다...
과산화수소 한번 뿌리고 닦아낸 다음에 비누로 해서 지우면 완전 다 지워질거에요"
44,2022-10-12 09:36:52+00:00,tunafilmotrivia,"학창시절의 대수는 저의 고등학고 때 추억을 떠올려 만들었습니다. 교복바지를 통바지처럼 만들어 내려입고 양아치 같은 느낌을 위해 과산화수소로 뺀 듯한 헤어컬러를 택했어요. 운동부는 염색도 약간 묵인해주는 게 있었어요, 거기서 아이디어를 냈죠."
45,2022-10-12 08:53:21+00:00,sang_desuwa,과산화수소 사야겟다
46,2022-10-11 17:55:52+00:00,yn_space,"RT @arrow_cf: 과거 일본 ISAS(우주과학연구소)의 고체로켓인 M-3C는 롤 제어용 추력기를 위한 추진제 엄빌리컬이 있었다.

엄빌리컬로 연료인 과산화수소와 그걸 추진제탱크에서 추력기로 밀어줄 기체 질소가 주입되고, 그 엄빌리컬은 공기 액…"
47,2022-10-11 15:40:46+00:00,SantanaLopez_kr,"비누랑 과산화수소에 네 이름 적어서 내 사물함에 넣어뒀어. 제발, 퀸. 사악한 삼위일체를 깰 순 없다고."
48,2022-10-11 14:05:06+00:00,Kedrskie,"RT @arrow_cf: 과거 일본 ISAS(우주과학연구소)의 고체로켓인 M-3C는 롤 제어용 추력기를 위한 추진제 엄빌리컬이 있었다.

엄빌리컬로 연료인 과산화수소와 그걸 추진제탱크에서 추력기로 밀어줄 기체 질소가 주입되고, 그 엄빌리컬은 공기 액…"
49,2022-10-11 13:58:08+00:00,arrow_cf,"과거 일본 ISAS(우주과학연구소)의 고체로켓인 M-3C는 롤 제어용 추력기를 위한 추진제 엄빌리컬이 있었다.

엄빌리컬로 연료인 과산화수소와 그걸 추진제탱크에서 추력기로 밀어줄 기체 질소가 주입되고, 그 엄빌리컬은 공기 액추에이터로 분리되는 방식이다.
생각보다 발사 직전에 분리되는듯? https://t.co/15To39AMik"
50,2022-10-11 13:14:54+00:00,ho_woo_0,@x__LUV__x 헐 ㅠㅠㅠ 무릎 피 마니 났어요??? ㅠㅠㅠㅠㅠ 과산화수소 편의점에서 언넝 사서 소독하구 마데카솔 발라주여 ㅠㅠㅠㅠ 집에 마데카솔이나 후시딘 있어요??
51,2022-10-11 11:19:34+00:00,lambert078,밀스 미간에 털이 안나서 뭐지...? 하고 과산화수소 소독 해주는데(병원가서 검사도 해봄 이상없다고함) 왜 털 안 나는 구역이 점점 넓어지는거같지
52,2022-10-11 10:40:34+00:00,noDaTataka,마히루가 덜렁거려서 설탕대신 소금넣거나 베이킹 파우더대신 과산화수소 넣어도 먹었을껄? 마히루가~ 친구가 만든거니까~  하하~(넉살좋게 웃는다..)
