,Time,User,Tweet
0,2022-10-17 02:40:25+00:00,M3llchya,티르가 럭키스케베 당하는거 보고싶다..물론 걔는 피할수있는대 안피하고 일부러 당해준거겟지만... 딴사람은 몰라두 루한텐 일부러 당할거같음 피해자는 티르지만 루가 더 기분 더러워할거라는 점..그리고 시엘이 욕하면서 손씻기거 소독제 뿌리고 핸드크림 발라줌
1,2022-10-17 01:50:24+00:00,angeloa8,"마이플러스테이블
고양이주택
장난감소독제
박형덕
무명서점
멍뭉이 https://t.co/RpL2ZWQcG5"
2,2022-10-17 00:59:01+00:00,GeumchanYeong,"아, 네 손 소독제 좋더라?"
3,2022-10-16 23:24:09+00:00,Choco08030,다친곳에 냅다 손 소독제 바르는 강한 여성
4,2022-10-16 22:20:29+00:00,Melissa79397648,"이모의선물제작
사랑이야기구미점
육아피드
간만에뭉침
대구수성구
서면헌팅포차
다이어트음식
청량리
살균소독제
비구협하치
달리는남자
광고지만솔직후기
kh자산관리법인역삼점
모텔
볼트스테이크하우스
봄이똥자루
건대입구역
경성흑백사진관
독립공간
세무회계 https://t.co/EFir1NUaXF"
5,2022-10-16 21:53:52+00:00,the_secret_kbot,"감사하는 마음은 백신이며, 해독제이며, 소독제다.
-존 헨리 조웻"
6,2022-10-16 21:48:02+00:00,kwh_bjd,"희미한 두줄이 떠부렀다...
당장 마스크 단디 끼고 소독제 준비 완"
7,2022-10-16 20:36:52+00:00,bogju2,"세상에 쉬싸고 손안닦는 인간들이 얼마나 많을까?
나는 살면서 그런 인간들을 얼마나 만날까?
주변에 쉬로 인해 생긴 세균들이 얼마나 득실거릴까?
아... 진짜 너무 끔찍스러워서 하얀방에 갇혀 백날 소독제나 뿌리며 살고싶다"
8,2022-10-16 18:13:36+00:00,eversonear,치료엔 제법 정성이 담겼던가. 환부에 소독제가 닿을 땐 줄곧 유지하던 여유를 잃는다. 무심코 미간을 찌푸리고 있으면 그곳에 시선이 닿는다. 표정을 원래대로 돌려놓는 건 금방이었다.
9,2022-10-16 15:47:22+00:00,chfhrrhlanf,새로 바꾼 면도기 소독제 괜찮네 더 깔끔함 이전거보다
10,2022-10-16 15:21:32+00:00,gogojoankim,"오래된  손 소독제로 청소하세요. 후드 가스레인지 기름때에 최고. 단, 반드시 물걸레로 2번이상 닦으세요. 화재 위험."
11,2022-10-16 14:54:45+00:00,INeedYouRun,"대리 @marryme_yunki 가 선물해준 손 소독제를 햇살 @bts_mindol 님이 레진코팅 해 주신 세기의 콜라보
대리야 잘 쓸께에~~
 
그리고 햇살님의 귀여운 선물 고마워요
(어맛 티켓이랑 팔찌 사진을 같이 찍어버렸네  🤭)
티켓은 이렇게 보관 할 예정~ https://t.co/h2l3vbNbNi"
12,2022-10-16 14:38:01+00:00,jkun_mi,또 웃겼던거 산즈 결벽증이라는 캐해 너무 잘 써먹으심 오자마자 의자에 소독제 칙칙 뿌리고 앉고 손에 칙칙 뿌리고 미니게임 진행하심
13,2022-10-16 14:05:35+00:00,e971224,"야외소독제
전주무료미팅
보험비교분석
하나먹어치웠다
펜낫
분당맛집추천
마케터의문장 https://t.co/dujJnvmF7z"
14,2022-10-16 14:01:24+00:00,DDae_zzyu,@ka_e_122 아앆 그럼 소주는 소독제게요?
15,2022-10-16 13:00:28+00:00,luvDear_S2,맞아...나도 ... 손님한테 들어보니까 매번 직원몇몇분들이 손 소독제를 시럽으로 착각해서 몇번 짜먹었단 소리에 손소독제에다가 매직으로 손 소독제 엄청 써놓음
16,2022-10-16 12:59:43+00:00,yyeonjixxun,"동생들 손 소독제 뿌려주는 연준이 형아미 넘쳐요,, https://t.co/bbqeqlgQnC"
17,2022-10-16 12:59:14+00:00,NG_TAECH,"@hanjuhi5 무슨 말씀을! 우리 와기 천사랑 놀면 완전 영광이죠 ㅠㅠ
헐 다 좋아해요!? 대박 ㅠㅠ 안가리는 것까지 태찬이랑 잘 맞아서 매점에서 그때그떄 땡기는 걸로다가 종류별로 왕창 먹겠네요 ㅋㅋㅋㅋ둘이서 매점 음식은 다 먹어볼듯해서 귀여워요 ㅠㅠ ㅋㅋㅋㅋㅋ 소독제 하나 사줘야할 판입니다.."
18,2022-10-16 12:07:27+00:00,cnaao,"명문칼
채채맘마
캠코
살균소독제
영천동커피단체주문
당리타투
몽클레어신상
콩나물 https://t.co/1UXTKApawZ"
19,2022-10-16 09:48:28+00:00,GeumchanYeong,"아, 네 손 소독제 좋더라?"
20,2022-10-16 09:13:52+00:00,leek030522,@violet525109 (아무말 없이 소독제를 부은 다음 약을 발라주며)
21,2022-10-16 08:17:49+00:00,MinggyuMy,"queen 퀸님 콜렉트북 1.5에 양도합니다 !

개봉하고 포카 5분정도 끼워 놨었고 
소독제 바르고 만졌어요 !

디엠주세요 ✔️😍

콜북 콜렉트북 포카홀더 포카홀더북 퀸님 산리오 1단 2단 점보 키키님 키키룸 아이마켓 코랄트리 엔시티 트레저 방탄소년단 트와이스 뉴진스 아이브 더보이즈 https://t.co/lpZIuw3voP"
22,2022-10-16 07:51:00+00:00,rosie_squirrel_,@nini_s_eyes 소독제 맞을걸요..? 알콜 냄새 나는데
23,2022-10-16 07:49:47+00:00,nini_s_eyes,소독제아니야였어..? 계속 뿌렸는데 https://t.co/8qog8pbwTT
24,2022-10-16 06:33:18+00:00,eversodeep,바보. (짜증 나…. 이 말은 거의 속삭이듯 했다. 그러나 민정은 놓치지 않을 것이다. 그렇게 믿는다. 드러난 환부 위로 소독제를 도포하면서. 곧장 드레싱 패드로 환부를 꼼꼼히 감싼 뒤 붕대로 마무리했다. 고개 들어 민정의 얼굴을 살핀다.) 아팠어?
25,2022-10-16 05:42:11+00:00,raon58033725,"#살면서_겪은일_본사람_다하기
연애:모솔임
섹x: 저기요 미잔데요
자살시도: ^^
키스:애인이 없음
가출:집나갈라고 외고감
절도:x
절교:한 3명?
전학:x
따돌림:^^
응급실:이마 깨져서 갔음
수술:x
해외여행:괌 한번
장학금:x 졸업때 안주나
자퇴:x
술:물인줄 알고 마심 소독제 마신줄 소주였음
담배:x"
26,2022-10-16 05:14:51+00:00,gywls0929,"잉글리쉬쉽독
대전온누리교회
야외소독제
서산
은행권취업스터디 https://t.co/3jiBAlGDFq"
27,2022-10-16 02:16:05+00:00,_chaeyeop_,@shuna_no_tabi 그쵸.. 게다가 그 세계관이면 술은 매우 좋은 소독제
28,2022-10-16 02:05:47+00:00,YeBiNiee1108,드디어 샀다... 소염진통제... 뿌리는 소독제...
29,2022-10-15 23:54:04+00:00,android_hans,소독제..분명 여기다 챙겨뒀던것같은데? 에엥? 어디로 간거지..?
30,2022-10-15 22:18:22+00:00,GeumchanYeong,"아, 네 손 소독제 좋더라?"
31,2022-10-15 20:39:21+00:00,yxxzexl,소독제 일주일은 쓸 수 있을 거라며😭
32,2022-10-15 15:45:17+00:00,Stephan63213203,"의정부무료미팅
딸바보그램
슬라이딩도어
사고력
하나비
어려워
감성충만
유아소독제
오투덤산소테라피
된장수육
해외여행지
마이투셀
바디채널시청점
노예
연천유부남
남원채팅
김기춘수석대표님의
살색계
수제원목 https://t.co/073bEQsYbZ"
33,2022-10-15 14:25:38+00:00,__0PH3R1C,"ㅁㅊ아...
ㅎㄹㅇㅅ랑 키스하기 전에 눈앞에서 양치 벅벅 가글 복복 불소로 소독하고 소독제 가라라라락 하는 상대방 생각하고 지하철에서 오열
   ㄴ 그걸 왜 생각하시나요"
34,2022-10-15 14:07:23+00:00,DuckWho_hh,"RT @ye_loov0: 알코올 향이 났으면 알코올 계열 화학약품일 가능성이 클텐데... 카페니깐 알코올계 세정제/소독제/메틸 알코올 이쪽이거나 청소쪽이면 락스, 독약이라고 써져있던 걸 생각하면 쥐약정도...일텐데 왜 독약이라고 써놨을지는 의문이네요…"
35,2022-10-15 13:46:35+00:00,ye_loov0,"알코올 향이 났으면 알코올 계열 화학약품일 가능성이 클텐데... 카페니깐 알코올계 세정제/소독제/메틸 알코올 이쪽이거나 청소쪽이면 락스, 독약이라고 써져있던 걸 생각하면 쥐약정도...일텐데 왜 독약이라고 써놨을지는 의문이네요 보통이면 용도 별로 써놓을텐데 굳이 왜 독약..? https://t.co/68m6Z76GBA"
36,2022-10-15 12:19:13+00:00,won_in_under,"@Nighty_1221 (어! 일어나셨네!) 괜.. 찮아 보이지는 않은데요?! (어떻게 저 모습을 보고 괜찮다고 판단하나.) 제가.. 음.. 치료도구가 조금 있거든요? 소독제나, 뭐 붙이거나.."
37,2022-10-15 12:06:14+00:00,uni_908,RT @Taehyun_0202: 애기 손 꼭 잡고 내려오고 손 잡은체로 소독제 발라주는 다정한 태현 형아ㅜ https://t.co/YTESnRaG40
38,2022-10-15 11:27:24+00:00,moonlit_night_x,....전기장판 개씨게 틀어놨더니 이염댔는디...소독제로 슥슥 닦아봐도 소용업어서 그냥 포기함
39,2022-10-15 09:08:01+00:00,myangnuna_xo,@alcurnia_mya 저 핸드폰은 외출하고 집오면 바로 스왑이나 뿌려쓰는 알콜소독제를 화장솜에 뿌려서 맨날 닦아주는건 아예 루틴처럼 몸이 베여서 괜찮은데 에어팟은 일주일에 한번 충전할때랑 오늘좀많이 출퇴근길에 들은거같다(아님 바닥에 떨어뜨린날.무조건) 해요.... 근데 충전기선 같은거도 한번씩닦아주면 🤢
40,2022-10-15 09:01:16+00:00,splatoon_bita,"@gajami_go 아앋 아악 세상에 으아악 상상했어요😭😭💦
아아니 그그래서 어쩌셨나요... 냅다 알코올 소독제 뿌리셨나요...?"
41,2022-10-15 06:35:42+00:00,M00NLUVRZ,"RT @whatthecrao: 이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도…"
42,2022-10-15 05:35:34+00:00,aokoinobori,"RT @whatthecrao: 이결이들을 햇빛에 노릇 노릇 말리고 있습니다~~

따끈따끈 갓 생산된 모찌들은 화학약품 냄새가 많이 나요ㅠㅠ 
저는 인형에 소독제를 뿌리고 이렇게 말리는 작업으로 냄새를 없앤답니다~~ o(*'▽'*)/☆ﾟ
12시간 정도…"
